2021,Sunrise/Sunset,,Daylength,,Astronomical Twilight,,Nautical Twilight,,Civil Twilight,,Solar Noon,
2/24/2022,6:57 am ? (102°),5:54 pm ? (258°),10:57:01,+2:57,5:21 AM,7:30 PM,5:54 AM,6:57 PM,6:28 AM,6:23 PM,12:25 pm (36.7°),92.001
2/25/2022,6:55 am ? (102°),5:55 pm ? (259°),10:59:58,+2:57,5:19 AM,7:31 PM,5:53 AM,6:58 PM,6:26 AM,6:24 PM,12:25 pm (37.1°),92.023
2/26/2022,6:54 am ? (101°),5:56 pm ? (259°),11:02:57,+2:58,5:18 AM,7:33 PM,5:51 AM,6:59 PM,6:24 AM,6:26 PM,12:25 pm (37.5°),92.045
2/27/2022,6:52 am ? (101°),5:58 pm ? (260°),11:05:56,+2:58,5:16 AM,7:34 PM,5:49 AM,7:00 PM,6:23 AM,6:27 PM,12:24 pm (37.9°),92.067
2/28/2022,6:50 am ? (100°),5:59 pm ? (260°),11:08:55,+2:59,5:14 AM,7:35 PM,5:48 AM,7:02 PM,6:21 AM,6:28 PM,12:24 pm (38.2°),92.09
3/1/2022,6:49 am ? (100°),6:00 pm ? (261°),11:11:55,+2:59,5:13 AM,7:36 PM,5:46 AM,7:03 PM,6:20 AM,6:29 PM,12:24 pm (38.6°),92.112
3/2/2022,6:47 am ? (99°),6:02 pm ? (261°),11:14:56,+3:00,5:11 AM,7:38 PM,5:45 AM,7:04 PM,6:18 AM,6:31 PM,12:24 pm (39.0°),92.135
3/3/2022,6:45 am ? (98°),6:03 pm ? (262°),11:17:56,+3:00,5:09 AM,7:39 PM,5:43 AM,7:05 PM,6:16 AM,6:32 PM,12:24 pm (39.4°),92.158
3/4/2022,6:43 am ? (98°),6:04 pm ? (262°),11:20:58,+3:01,5:08 AM,7:40 PM,5:41 AM,7:07 PM,6:15 AM,6:33 PM,12:23 pm (39.8°),92.181
3/5/2022,6:42 am ? (97°),6:06 pm ? (263°),11:23:59,+3:01,5:06 AM,7:42 PM,5:39 AM,7:08 PM,6:13 AM,6:35 PM,12:23 pm (40.1°),92.204
3/6/2022,6:40 am ? (97°),6:07 pm ? (263°),11:27:01,+3:01,5:04 AM,7:43 PM,5:38 AM,7:09 PM,6:11 AM,6:36 PM,12:23 pm (40.5°),92.227
3/7/2022,6:38 am ? (96°),6:08 pm ? (264°),11:30:03,+3:02,5:02 AM,7:44 PM,5:36 AM,7:10 PM,6:09 AM,6:37 PM,12:23 pm (40.9°),92.251
3/8/2022,6:36 am ? (96°),6:09 pm ? (264°),11:33:05,+3:02,5:01 AM,7:46 PM,5:34 AM,7:12 PM,6:08 AM,6:38 PM,12:23 pm (41.3°),92.274
3/9/2022,6:35 am ? (95°),6:11 pm ? (265°),11:36:08,+3:02,4:59 AM,7:47 PM,5:32 AM,7:13 PM,6:06 AM,6:40 PM,12:22 pm (41.7°),92.298
3/10/2022,6:33 am ? (95°),6:12 pm ? (266°),11:39:10,+3:02,4:57 AM,7:48 PM,5:31 AM,7:14 PM,6:04 AM,6:41 PM,12:22 pm (42.1°),92.322
3/11/2022,6:31 am ? (94°),6:13 pm ? (266°),11:42:13,+3:02,4:55 AM,7:50 PM,5:29 AM,7:16 PM,6:02 AM,6:42 PM,12:22 pm (42.5°),92.346
3/12/2022,6:29 am ? (94°),6:15 pm ? (267°),11:45:16,+3:02,4:53 AM,7:51 PM,5:27 AM,7:17 PM,6:01 AM,6:43 PM,12:22 pm (42.9°),92.37
Note: hours shift because clocks change forward 1 hour. (See the note below this table for details),,,,,,,,,,,,
3/13/2022,7:27 am ? (93°),7:16 pm ? (267°),11:48:19,+3:03,5:51 AM,8:52 PM,6:25 AM,8:18 PM,6:59 AM,7:45 PM,1:21 pm (43.3°),92.395
3/14/2022,7:26 am ? (93°),7:17 pm ? (268°),11:51:22,+3:03,5:49 AM,8:54 PM,6:23 AM,8:19 PM,6:57 AM,7:46 PM,1:21 pm (43.7°),92.419
3/15/2022,7:24 am ? (92°),7:18 pm ? (268°),11:54:26,+3:03,5:47 AM,8:55 PM,6:22 AM,8:21 PM,6:55 AM,7:47 PM,1:21 pm (44.1°),92.444
3/16/2022,7:22 am ? (91°),7:20 pm ? (269°),11:57:29,+3:03,5:46 AM,8:56 PM,6:20 AM,8:22 PM,6:53 AM,7:48 PM,1:20 pm (44.5°),92.469
3/17/2022,7:20 am ? (91°),7:21 pm ? (269°),12:00:32,+3:03,5:44 AM,8:58 PM,6:18 AM,8:23 PM,6:51 AM,7:50 PM,1:20 pm (44.9°),92.495
3/18/2022,7:18 am ? (90°),7:22 pm ? (270°),12:03:36,+3:03,5:42 AM,8:59 PM,6:16 AM,8:25 PM,6:50 AM,7:51 PM,1:20 pm (45.3°),92.521
3/19/2022,7:17 am ? (90°),7:23 pm ? (271°),12:06:39,+3:03,5:40 AM,9:00 PM,6:14 AM,8:26 PM,6:48 AM,7:52 PM,1:20 pm (45.6°),92.547
3/20/2022,7:15 am ? (89°),7:24 pm ? (271°),12:09:42,+3:03,5:38 AM,9:02 PM,6:12 AM,8:27 PM,6:46 AM,7:53 PM,1:19 pm (46.0°),92.573
3/21/2022,7:13 am ? (89°),7:26 pm ? (272°),12:12:46,+3:03,5:36 AM,9:03 PM,6:10 AM,8:28 PM,6:44 AM,7:55 PM,1:19 pm (46.4°),92.599
3/22/2022,7:11 am ? (88°),7:27 pm ? (272°),12:15:49,+3:03,5:34 AM,9:05 PM,6:08 AM,8:30 PM,6:42 AM,7:56 PM,1:19 pm (46.8°),92.626
3/23/2022,7:09 am ? (88°),7:28 pm ? (273°),12:18:52,+3:03,5:32 AM,9:06 PM,6:07 AM,8:31 PM,6:40 AM,7:57 PM,1:18 pm (47.2°),92.653
3/24/2022,7:07 am ? (87°),7:29 pm ? (273°),12:21:55,+3:03,5:30 AM,9:08 PM,6:05 AM,8:32 PM,6:39 AM,7:58 PM,1:18 pm (47.6°),92.68
3/25/2022,7:06 am ? (86°),7:31 pm ? (274°),12:24:58,+3:02,5:28 AM,9:09 PM,6:03 AM,8:34 PM,6:37 AM,8:00 PM,1:18 pm (48.0°),92.707
3/26/2022,7:04 am ? (86°),7:32 pm ? (274°),12:28:01,+3:02,5:26 AM,9:10 PM,6:01 AM,8:35 PM,6:35 AM,8:01 PM,1:17 pm (48.4°),92.734
3/27/2022,7:02 am ? (85°),7:33 pm ? (275°),12:31:04,+3:02,5:24 AM,9:12 PM,5:59 AM,8:36 PM,6:33 AM,8:02 PM,1:17 pm (48.8°),92.761
3/28/2022,7:00 am ? (85°),7:34 pm ? (275°),12:34:06,+3:02,5:21 AM,9:13 PM,5:57 AM,8:38 PM,6:31 AM,8:03 PM,1:17 pm (49.2°),92.788
3/29/2022,6:58 am ? (84°),7:36 pm ? (276°),12:37:08,+3:02,5:19 AM,9:15 PM,5:55 AM,8:39 PM,6:29 AM,8:05 PM,1:17 pm (49.6°),92.815
3/30/2022,6:57 am ? (84°),7:37 pm ? (277°),12:40:10,+3:02,5:17 AM,9:16 PM,5:53 AM,8:40 PM,6:27 AM,8:06 PM,1:16 pm (50.0°),92.842
3/31/2022,6:55 am ? (83°),7:38 pm ? (277°),12:43:12,+3:01,5:15 AM,9:18 PM,5:51 AM,8:42 PM,6:26 AM,8:07 PM,1:16 pm (50.4°),92.869
4/1/2022,6:53 am ? (83°),7:39 pm ? (278°),12:46:14,+3:01,5:13 AM,9:19 PM,5:49 AM,8:43 PM,6:24 AM,8:08 PM,1:16 pm (50.7°),92.895
4/2/2022,6:51 am ? (82°),7:40 pm ? (278°),12:49:15,+3:01,5:11 AM,9:21 PM,5:47 AM,8:45 PM,6:22 AM,8:10 PM,1:15 pm (51.1°),92.922
4/3/2022,6:49 am ? (82°),7:42 pm ? (279°),12:52:16,+3:00,5:09 AM,9:22 PM,5:45 AM,8:46 PM,6:20 AM,8:11 PM,1:15 pm (51.5°),92.948
4/4/2022,6:48 am ? (81°),7:43 pm ? (279°),12:55:16,+3:00,5:07 AM,9:24 PM,5:43 AM,8:47 PM,6:18 AM,8:12 PM,1:15 pm (51.9°),92.975
4/5/2022,6:46 am ? (81°),7:44 pm ? (280°),12:58:16,+3:00,5:05 AM,9:26 PM,5:41 AM,8:49 PM,6:16 AM,8:14 PM,1:14 pm (52.3°),93.001
4/6/2022,6:44 am ? (80°),7:45 pm ? (280°),13:01:16,+2:59,5:03 AM,9:27 PM,5:39 AM,8:50 PM,6:15 AM,8:15 PM,1:14 pm (52.6°),93.027
4/7/2022,6:42 am ? (79°),7:46 pm ? (281°),13:04:15,+2:59,5:00 AM,9:29 PM,5:37 AM,8:51 PM,6:13 AM,8:16 PM,1:14 pm (53.0°),93.053
4/8/2022,6:40 am ? (79°),7:48 pm ? (281°),13:07:14,+2:58,4:58 AM,9:30 PM,5:35 AM,8:53 PM,6:11 AM,8:17 PM,1:14 pm (53.4°),93.079
4/9/2022,6:39 am ? (78°),7:49 pm ? (282°),13:10:12,+2:58,4:56 AM,9:32 PM,5:34 AM,8:54 PM,6:09 AM,8:19 PM,1:13 pm (53.8°),93.105
4/10/2022,6:37 am ? (78°),7:50 pm ? (282°),13:13:10,+2:57,4:54 AM,9:34 PM,5:32 AM,8:56 PM,6:07 AM,8:20 PM,1:13 pm (54.1°),93.131
4/11/2022,6:35 am ? (77°),7:51 pm ? (283°),13:16:07,+2:57,4:52 AM,9:35 PM,5:30 AM,8:57 PM,6:05 AM,8:21 PM,1:13 pm (54.5°),93.157
4/12/2022,6:33 am ? (77°),7:53 pm ? (283°),13:19:04,+2:56,4:50 AM,9:37 PM,5:28 AM,8:59 PM,6:04 AM,8:22 PM,1:13 pm (54.9°),93.183
4/13/2022,6:32 am ? (76°),7:54 pm ? (284°),13:21:59,+2:55,4:47 AM,9:39 PM,5:26 AM,9:00 PM,6:02 AM,8:24 PM,1:12 pm (55.2°),93.209
4/14/2022,6:30 am ? (76°),7:55 pm ? (284°),13:24:55,+2:55,4:45 AM,9:40 PM,5:24 AM,9:01 PM,6:00 AM,8:25 PM,1:12 pm (55.6°),93.235
4/15/2022,6:28 am ? (75°),7:56 pm ? (285°),13:27:49,+2:54,4:43 AM,9:42 PM,5:22 AM,9:03 PM,5:58 AM,8:26 PM,1:12 pm (55.9°),93.261
4/16/2022,6:27 am ? (75°),7:57 pm ? (285°),13:30:43,+2:53,4:41 AM,9:44 PM,5:20 AM,9:04 PM,5:56 AM,8:28 PM,1:12 pm (56.3°),93.287
4/17/2022,6:25 am ? (74°),7:59 pm ? (286°),13:33:36,+2:53,4:39 AM,9:45 PM,5:18 AM,9:06 PM,5:55 AM,8:29 PM,1:11 pm (56.6°),93.313
4/18/2022,6:23 am ? (74°),8:00 pm ? (286°),13:36:28,+2:52,4:37 AM,9:47 PM,5:16 AM,9:07 PM,5:53 AM,8:30 PM,1:11 pm (57.0°),93.339
4/19/2022,6:22 am ? (73°),8:01 pm ? (287°),13:39:20,+2:51,4:35 AM,9:49 PM,5:14 AM,9:09 PM,5:51 AM,8:32 PM,1:11 pm (57.3°),93.365
4/20/2022,6:20 am ? (73°),8:02 pm ? (287°),13:42:10,+2:50,4:32 AM,9:50 PM,5:12 AM,9:10 PM,5:49 AM,8:33 PM,1:11 pm (57.7°),93.391
4/21/2022,6:18 am ? (72°),8:03 pm ? (288°),13:45:00,+2:49,4:30 AM,9:52 PM,5:10 AM,9:12 PM,5:48 AM,8:34 PM,1:11 pm (58.0°),93.417
4/22/2022,6:17 am ? (72°),8:05 pm ? (288°),13:47:49,+2:48,4:28 AM,9:54 PM,5:09 AM,9:13 PM,5:46 AM,8:36 PM,1:10 pm (58.4°),93.443
4/23/2022,6:15 am ? (71°),8:06 pm ? (289°),13:50:37,+2:47,4:26 AM,9:56 PM,5:07 AM,9:15 PM,5:44 AM,8:37 PM,1:10 pm (58.7°),93.469
4/24/2022,6:14 am ? (71°),8:07 pm ? (289°),13:53:23,+2:46,4:24 AM,9:58 PM,5:05 AM,9:16 PM,5:43 AM,8:38 PM,1:10 pm (59.0°),93.495
4/25/2022,6:12 am ? (70°),8:08 pm ? (290°),13:56:09,+2:45,4:22 AM,9:59 PM,5:03 AM,9:18 PM,5:41 AM,8:39 PM,1:10 pm (59.3°),93.52
4/26/2022,6:11 am ? (70°),8:09 pm ? (290°),13:58:54,+2:44,4:20 AM,10:01 PM,5:01 AM,9:19 PM,5:39 AM,8:41 PM,1:10 pm (59.7°),93.545
4/27/2022,6:09 am ? (70°),8:11 pm ? (291°),14:01:37,+2:43,4:17 AM,10:03 PM,4:59 AM,9:21 PM,5:38 AM,8:42 PM,1:09 pm (60.0°),93.57
4/28/2022,6:08 am ? (69°),8:12 pm ? (291°),14:04:19,+2:42,4:15 AM,10:05 PM,4:58 AM,9:22 PM,5:36 AM,8:43 PM,1:09 pm (60.3°),93.595
4/29/2022,6:06 am ? (69°),8:13 pm ? (292°),14:07:00,+2:40,4:13 AM,10:07 PM,4:56 AM,9:24 PM,5:35 AM,8:45 PM,1:09 pm (60.6°),93.619
4/30/2022,6:05 am ? (68°),8:14 pm ? (292°),14:09:39,+2:39,4:11 AM,10:09 PM,4:54 AM,9:25 PM,5:33 AM,8:46 PM,1:09 pm (60.9°),93.643
5/1/2022,6:03 am ? (68°),8:15 pm ? (292°),14:12:17,+2:38,4:09 AM,10:10 PM,4:52 AM,9:27 PM,5:31 AM,8:47 PM,1:09 pm (61.2°),93.667
5/2/2022,6:02 am ? (67°),8:17 pm ? (293°),14:14:54,+2:36,4:07 AM,10:12 PM,4:51 AM,9:28 PM,5:30 AM,8:49 PM,1:09 pm (61.5°),93.69
5/3/2022,6:00 am ? (67°),8:18 pm ? (293°),14:17:29,+2:35,4:05 AM,10:14 PM,4:49 AM,9:30 PM,5:28 AM,8:50 PM,1:09 pm (61.8°),93.713
5/4/2022,5:59 am ? (66°),8:19 pm ? (294°),14:20:02,+2:33,4:03 AM,10:16 PM,4:47 AM,9:31 PM,5:27 AM,8:51 PM,1:09 pm (62.1°),93.736
5/5/2022,5:58 am ? (66°),8:20 pm ? (294°),14:22:34,+2:31,4:01 AM,10:18 PM,4:45 AM,9:33 PM,5:25 AM,8:53 PM,1:09 pm (62.4°),93.758
5/6/2022,5:56 am ? (66°),8:21 pm ? (295°),14:25:04,+2:30,3:59 AM,10:20 PM,4:44 AM,9:34 PM,5:24 AM,8:54 PM,1:08 pm (62.7°),93.78
5/7/2022,5:55 am ? (65°),8:23 pm ? (295°),14:27:33,+2:28,3:57 AM,10:22 PM,4:42 AM,9:36 PM,5:23 AM,8:55 PM,1:08 pm (62.9°),93.802
5/8/2022,5:54 am ? (65°),8:24 pm ? (295°),14:29:59,+2:26,3:55 AM,10:24 PM,4:41 AM,9:37 PM,5:21 AM,8:56 PM,1:08 pm (63.2°),93.823
5/9/2022,5:52 am ? (64°),8:25 pm ? (296°),14:32:24,+2:24,3:53 AM,10:26 PM,4:39 AM,9:39 PM,5:20 AM,8:58 PM,1:08 pm (63.5°),93.845
5/10/2022,5:51 am ? (64°),8:26 pm ? (296°),14:34:46,+2:22,3:51 AM,10:27 PM,4:37 AM,9:40 PM,5:18 AM,8:59 PM,1:08 pm (63.7°),93.866
5/11/2022,5:50 am ? (64°),8:27 pm ? (297°),14:37:07,+2:20,3:49 AM,10:29 PM,4:36 AM,9:42 PM,5:17 AM,9:00 PM,1:08 pm (64.0°),93.886
5/12/2022,5:49 am ? (63°),8:28 pm ? (297°),14:39:25,+2:18,3:47 AM,10:31 PM,4:34 AM,9:43 PM,5:16 AM,9:02 PM,1:08 pm (64.2°),93.907
5/13/2022,5:48 am ? (63°),8:29 pm ? (297°),14:41:41,+2:16,3:45 AM,10:33 PM,4:33 AM,9:45 PM,5:15 AM,9:03 PM,1:08 pm (64.5°),93.927
5/14/2022,5:47 am ? (63°),8:31 pm ? (298°),14:43:55,+2:13,3:43 AM,10:35 PM,4:31 AM,9:46 PM,5:13 AM,9:04 PM,1:08 pm (64.7°),93.948
5/15/2022,5:46 am ? (62°),8:32 pm ? (298°),14:46:07,+2:11,3:41 AM,10:37 PM,4:30 AM,9:48 PM,5:12 AM,9:05 PM,1:08 pm (65.0°),93.968
5/16/2022,5:44 am ? (62°),8:33 pm ? (298°),14:48:16,+2:09,3:39 AM,10:39 PM,4:28 AM,9:49 PM,5:11 AM,9:06 PM,1:08 pm (65.2°),93.988
5/17/2022,5:43 am ? (62°),8:34 pm ? (299°),14:50:23,+2:06,3:37 AM,10:41 PM,4:27 AM,9:51 PM,5:10 AM,9:08 PM,1:08 pm (65.4°),94.007
5/18/2022,5:42 am ? (61°),8:35 pm ? (299°),14:52:27,+2:04,3:36 AM,10:43 PM,4:26 AM,9:52 PM,5:09 AM,9:09 PM,1:08 pm (65.6°),94.027
5/19/2022,5:41 am ? (61°),8:36 pm ? (299°),14:54:29,+2:01,3:34 AM,10:44 PM,4:24 AM,9:53 PM,5:07 AM,9:10 PM,1:08 pm (65.9°),94.046
5/20/2022,5:41 am ? (61°),8:37 pm ? (300°),14:56:28,+1:59,3:32 AM,10:46 PM,4:23 AM,9:55 PM,5:06 AM,9:11 PM,1:08 pm (66.1°),94.065
5/21/2022,5:40 am ? (60°),8:38 pm ? (300°),14:58:24,+1:56,3:30 AM,10:48 PM,4:22 AM,9:56 PM,5:05 AM,9:12 PM,1:09 pm (66.3°),94.084
5/22/2022,5:39 am ? (60°),8:39 pm ? (300°),15:00:18,+1:53,3:29 AM,10:50 PM,4:21 AM,9:58 PM,5:04 AM,9:13 PM,1:09 pm (66.5°),94.103
5/23/2022,5:38 am ? (60°),8:40 pm ? (300°),15:02:08,+1:50,3:27 AM,10:52 PM,4:19 AM,9:59 PM,5:03 AM,9:15 PM,1:09 pm (66.6°),94.121
5/24/2022,5:37 am ? (59°),8:41 pm ? (301°),15:03:56,+1:47,3:25 AM,10:54 PM,4:18 AM,10:00 PM,5:03 AM,9:16 PM,1:09 pm (66.8°),94.139
5/25/2022,5:36 am ? (59°),8:42 pm ? (301°),15:05:40,+1:44,3:24 AM,10:55 PM,4:17 AM,10:01 PM,5:02 AM,9:17 PM,1:09 pm (67.0°),94.156
5/26/2022,5:36 am ? (59°),8:43 pm ? (301°),15:07:22,+1:41,3:22 AM,10:57 PM,4:16 AM,10:03 PM,5:01 AM,9:18 PM,1:09 pm (67.2°),94.173
5/27/2022,5:35 am ? (59°),8:44 pm ? (302°),15:09:00,+1:38,3:21 AM,10:59 PM,4:15 AM,10:04 PM,5:00 AM,9:19 PM,1:09 pm (67.4°),94.19
5/28/2022,5:34 am ? (58°),8:45 pm ? (302°),15:10:35,+1:34,3:19 AM,11:00 PM,4:14 AM,10:05 PM,4:59 AM,9:20 PM,1:09 pm (67.5°),94.206
5/29/2022,5:34 am ? (58°),8:46 pm ? (302°),15:12:06,+1:31,3:18 AM,11:02 PM,4:13 AM,10:06 PM,4:58 AM,9:21 PM,1:09 pm (67.7°),94.222
5/30/2022,5:33 am ? (58°),8:47 pm ? (302°),15:13:34,+1:28,3:17 AM,11:04 PM,4:12 AM,10:08 PM,4:58 AM,9:22 PM,1:09 pm (67.8°),94.237
5/31/2022,5:32 am ? (58°),8:47 pm ? (302°),15:14:59,+1:24,3:15 AM,11:05 PM,4:11 AM,10:09 PM,4:57 AM,9:23 PM,1:10 pm (68.0°),94.252
6/1/2022,5:32 am ? (57°),8:48 pm ? (303°),15:16:20,+1:21,3:14 AM,11:07 PM,4:11 AM,10:10 PM,4:56 AM,9:24 PM,1:10 pm (68.1°),94.266
6/2/2022,5:31 am ? (57°),8:49 pm ? (303°),15:17:38,+1:17,3:13 AM,11:08 PM,4:10 AM,10:11 PM,4:56 AM,9:25 PM,1:10 pm (68.2°),94.28
6/3/2022,5:31 am ? (57°),8:50 pm ? (303°),15:18:51,+1:13,3:12 AM,11:10 PM,4:09 AM,10:12 PM,4:55 AM,9:25 PM,1:10 pm (68.3°),94.293
6/4/2022,5:30 am ? (57°),8:51 pm ? (303°),15:20:01,+1:10,3:11 AM,11:11 PM,4:08 AM,10:13 PM,4:55 AM,9:26 PM,1:10 pm (68.5°),94.306
6/5/2022,5:30 am ? (57°),8:51 pm ? (303°),15:21:08,+1:06,3:10 AM,11:12 PM,4:08 AM,10:14 PM,4:54 AM,9:27 PM,1:10 pm (68.6°),94.318
6/6/2022,5:30 am ? (57°),8:52 pm ? (304°),15:22:10,+1:02,3:09 AM,11:13 PM,4:07 AM,10:15 PM,4:54 AM,9:28 PM,1:11 pm (68.7°),94.33
6/7/2022,5:29 am ? (56°),8:53 pm ? (304°),15:23:09,+0:58,3:08 AM,11:15 PM,4:07 AM,10:16 PM,4:53 AM,9:29 PM,1:11 pm (68.8°),94.341
6/8/2022,5:29 am ? (56°),8:53 pm ? (304°),15:24:03,+0:54,3:07 AM,11:16 PM,4:06 AM,10:16 PM,4:53 AM,9:29 PM,1:11 pm (68.9°),94.352
6/9/2022,5:29 am ? (56°),8:54 pm ? (304°),15:24:54,+0:50,3:06 AM,11:17 PM,4:06 AM,10:17 PM,4:53 AM,9:30 PM,1:11 pm (68.9°),94.363
6/10/2022,5:29 am ? (56°),8:54 pm ? (304°),15:25:40,+0:46,3:06 AM,11:18 PM,4:05 AM,10:18 PM,4:53 AM,9:31 PM,1:11 pm (69.0°),94.374
6/11/2022,5:29 am ? (56°),8:55 pm ? (304°),15:26:22,+0:42,3:05 AM,11:19 PM,4:05 AM,10:19 PM,4:52 AM,9:31 PM,1:12 pm (69.1°),94.384
6/12/2022,5:28 am ? (56°),8:55 pm ? (304°),15:27:01,+0:38,3:04 AM,11:20 PM,4:05 AM,10:19 PM,4:52 AM,9:32 PM,1:12 pm (69.1°),94.393
6/13/2022,5:28 am ? (56°),8:56 pm ? (304°),15:27:35,+0:34,3:04 AM,11:21 PM,4:05 AM,10:20 PM,4:52 AM,9:32 PM,1:12 pm (69.2°),94.403
6/14/2022,5:28 am ? (56°),8:56 pm ? (304°),15:28:05,+0:29,3:04 AM,11:21 PM,4:04 AM,10:20 PM,4:52 AM,9:33 PM,1:12 pm (69.2°),94.412
6/15/2022,5:28 am ? (56°),8:57 pm ? (304°),15:28:30,+0:25,3:03 AM,11:22 PM,4:04 AM,10:21 PM,4:52 AM,9:33 PM,1:12 pm (69.3°),94.421
6/16/2022,5:28 am ? (56°),8:57 pm ? (304°),15:28:52,+0:21,3:03 AM,11:23 PM,4:04 AM,10:21 PM,4:52 AM,9:34 PM,1:13 pm (69.3°),94.43
6/17/2022,5:28 am ? (56°),8:58 pm ? (305°),15:29:09,+0:17,3:03 AM,11:23 PM,4:04 AM,10:22 PM,4:52 AM,9:34 PM,1:13 pm (69.3°),94.438
6/18/2022,5:28 am ? (55°),8:58 pm ? (305°),15:29:22,+0:13,3:03 AM,11:23 PM,4:04 AM,10:22 PM,4:52 AM,9:34 PM,1:13 pm (69.4°),94.446
6/19/2022,5:29 am ? (55°),8:58 pm ? (305°),15:29:31,+0:08,3:03 AM,11:24 PM,4:04 AM,10:22 PM,4:52 AM,9:35 PM,1:13 pm (69.4°),94.454
6/20/2022,5:29 am ? (55°),8:58 pm ? (305°),15:29:35,+0:04,3:03 AM,11:24 PM,4:04 AM,10:23 PM,4:52 AM,9:35 PM,1:14 pm (69.4°),94.461
6/21/2022,5:29 am ? (55°),8:59 pm ? (305°),15:29:35,< 1s,3:03 AM,11:24 PM,4:05 AM,10:23 PM,4:53 AM,9:35 PM,1:14 pm (69.4°),94.468
6/22/2022,5:29 am ? (55°),8:59 pm ? (305°),15:29:31,?0:04,3:03 AM,11:24 PM,4:05 AM,10:23 PM,4:53 AM,9:35 PM,1:14 pm (69.4°),94.474
6/23/2022,5:29 am ? (55°),8:59 pm ? (305°),15:29:23,?0:08,3:04 AM,11:24 PM,4:05 AM,10:23 PM,4:53 AM,9:35 PM,1:14 pm (69.4°),94.48
6/24/2022,5:30 am ? (55°),8:59 pm ? (304°),15:29:10,?0:12,3:04 AM,11:24 PM,4:05 AM,10:23 PM,4:53 AM,9:35 PM,1:14 pm (69.4°),94.485
6/25/2022,5:30 am ? (56°),8:59 pm ? (304°),15:28:53,?0:16,3:05 AM,11:24 PM,4:06 AM,10:23 PM,4:54 AM,9:35 PM,1:15 pm (69.3°),94.49
6/26/2022,5:31 am ? (56°),8:59 pm ? (304°),15:28:32,?0:21,3:05 AM,11:24 PM,4:06 AM,10:23 PM,4:54 AM,9:35 PM,1:15 pm (69.3°),94.495
6/27/2022,5:31 am ? (56°),8:59 pm ? (304°),15:28:07,?0:25,3:06 AM,11:24 PM,4:07 AM,10:23 PM,4:55 AM,9:35 PM,1:15 pm (69.2°),94.498
6/28/2022,5:31 am ? (56°),8:59 pm ? (304°),15:27:37,?0:29,3:07 AM,11:23 PM,4:07 AM,10:23 PM,4:55 AM,9:35 PM,1:15 pm (69.2°),94.502
6/29/2022,5:32 am ? (56°),8:59 pm ? (304°),15:27:03,?0:33,3:07 AM,11:23 PM,4:08 AM,10:23 PM,4:56 AM,9:35 PM,1:15 pm (69.1°),94.504
6/30/2022,5:32 am ? (56°),8:59 pm ? (304°),15:26:25,?0:37,3:08 AM,11:22 PM,4:09 AM,10:22 PM,4:56 AM,9:35 PM,1:16 pm (69.1°),94.506
7/1/2022,5:33 am ? (56°),8:59 pm ? (304°),15:25:43,?0:41,3:09 AM,11:22 PM,4:09 AM,10:22 PM,4:57 AM,9:35 PM,1:16 pm (69.0°),94.508
7/2/2022,5:33 am ? (56°),8:58 pm ? (304°),15:24:57,?0:46,3:10 AM,11:21 PM,4:10 AM,10:22 PM,4:57 AM,9:34 PM,1:16 pm (68.9°),94.509
7/3/2022,5:34 am ? (56°),8:58 pm ? (304°),15:24:07,?0:50,3:11 AM,11:20 PM,4:11 AM,10:21 PM,4:58 AM,9:34 PM,1:16 pm (68.9°),94.51
7/4/2022,5:35 am ? (56°),8:58 pm ? (304°),15:23:13,?0:54,3:12 AM,11:19 PM,4:12 AM,10:21 PM,4:59 AM,9:34 PM,1:16 pm (68.8°),94.51
7/5/2022,5:35 am ? (56°),8:58 pm ? (303°),15:22:15,?0:57,3:14 AM,11:19 PM,4:12 AM,10:20 PM,4:59 AM,9:33 PM,1:17 pm (68.7°),94.509
7/6/2022,5:36 am ? (57°),8:57 pm ? (303°),15:21:13,?1:01,3:15 AM,11:18 PM,4:13 AM,10:20 PM,5:00 AM,9:33 PM,1:17 pm (68.6°),94.508
7/7/2022,5:37 am ? (57°),8:57 pm ? (303°),15:20:08,?1:05,3:16 AM,11:17 PM,4:14 AM,10:19 PM,5:01 AM,9:33 PM,1:17 pm (68.5°),94.507
7/8/2022,5:37 am ? (57°),8:56 pm ? (303°),15:18:58,?1:09,3:18 AM,11:16 PM,4:15 AM,10:18 PM,5:02 AM,9:32 PM,1:17 pm (68.4°),94.505
7/9/2022,5:38 am ? (57°),8:56 pm ? (303°),15:17:45,?1:13,3:19 AM,11:14 PM,4:16 AM,10:18 PM,5:03 AM,9:31 PM,1:17 pm (68.2°),94.502
7/10/2022,5:39 am ? (57°),8:55 pm ? (303°),15:16:29,?1:16,3:20 AM,11:13 PM,4:17 AM,10:17 PM,5:03 AM,9:31 PM,1:17 pm (68.1°),94.5
7/11/2022,5:40 am ? (58°),8:55 pm ? (302°),15:15:08,?1:20,3:22 AM,11:12 PM,4:18 AM,10:16 PM,5:04 AM,9:30 PM,1:17 pm (68.0°),94.497
7/12/2022,5:41 am ? (58°),8:54 pm ? (302°),15:13:45,?1:23,3:23 AM,11:11 PM,4:19 AM,10:15 PM,5:05 AM,9:30 PM,1:18 pm (67.8°),94.494
7/13/2022,5:41 am ? (58°),8:54 pm ? (302°),15:12:18,?1:27,3:25 AM,11:09 PM,4:21 AM,10:14 PM,5:06 AM,9:29 PM,1:18 pm (67.7°),94.49
